multilabel_id;query;filters;gold_answers;answer;context;exact_match;f1;exact_match_context_scope;f1_context_scope;exact_match_document_id_scope;f1_document_id_scope;exact_match_document_id_and_context_scope;f1_document_id_and_context_scope;gold_contexts;rank;document_ids;gold_document_ids;offsets_in_document;gold_offsets_in_documents;offsets_in_context;gold_offsets_in_contexts;gold_answers_exact_match;gold_answers_f1;gold_documents_id_match;gold_contexts_similarity;type;node;eval_mode;index;full_context;answer_source
90851972190c4f269ca6eb3f9032923f;Qual o telefone do Departamento de Engenharia Mecatrônica e de Sistemas Mecânicos?;;['Telefone: +55 (11) 3091-5337 Fax: +55 (11) 3091-5461'];Departamento de Eletricidade;O próximo passo de seu caminho profissional foi o Departamento de Eletricidade da Escola Politécnica de São Paulo. Com vistas ao mestrado, na vigência;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;['Prof. Mello Moraes, 2231 – Cidade Universitária 05508-030 – São Paulo – SP – Brasil Telefone: +55 (11) 3091-5337 Fax: +55 (11) 3091-5461 Contato Secretaria do Departamento de Engenharia Mecatrônica e de Sistemas Mecânicos  Agenda Defesa - Eventos - Agenda Defesa Calendárior de Eventos D dom S seg T ter Q qua Q qui S sex S sáb 0 evento, 1 evento, Dissertação: “Análise da flexibilidade operativa do sistema elétrico brasileiro no contexto da integração de fontes renováveis prevista no plano decenal”. 31/07/2023. 13h30min.'];1.0;['ea83680e2f47e7bb121105f3c25a01f5'];['3b40f50615a74522cf99a05ffd27f3d9'];[{'start': 50, 'end': 78}];[{'start': 84, 'end': 136}];[{'start': 50, 'end': 78}];[{'start': 84, 'end': 136}];[0];[0];[0.0];[48.0];answer;Reader;integrated;0;O próximo passo de seu caminho profissional foi o Departamento de Eletricidade da Escola Politécnica de São Paulo. Com vistas ao mestrado, na vigência da diretoria do professor Oswaldo Fadigas Fontes Torres, tomou parte no Laboratório de Sistemas Digitais (LSD), então sob organização do professor Antonio Helio Guerra Vieira. Participou da elaboração e implantação de inúmeros projetos altamente tecnológicos e de pesquisa e teve participação marcante na instituição da FDTE – Fundação para o Desenvolvimento Tecnológico da Engenharia, em 1972.;O próximo passo de seu caminho profissional foi o Departamento de Eletricidade da Escola Politécnica de São Paulo. Com vistas ao mestrado, na vigência da diretoria do professor Oswaldo Fadigas Fontes Torres, tomou parte no Laboratório de Sistemas Digitais (LSD), então sob organização do professor Antonio Helio Guerra Vieira. Participou da elaboração e implantação de inúmeros projetos altamente tecnológicos e de pesquisa e teve participação marcante na instituição da FDTE – Fundação para o Desenvolvimento Tecnológico da Engenharia, em 1972.
a0679b6c03603b364e46d0442bac1d38;Como pesquisar uma disciplina no JúpiterWeb? ;;['No Júpiter Web, clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”'];clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”;as em seus cursos. No Júpiter Web, clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”. Você poderá pesquisar por “Curso;0.0;0.896551724137931;0.0;0.896551724137931;0.0;0.896551724137931;0.0;0.896551724137931;"['A Pró-Reitoria de Graduação (PRG) e a Pró-Reitoria de Pós-Graduação (PRPG) da Universidade de São Paulo disponibilizam através dos Sistemas JúpiterWeb e Janus, respectivamente, acesso a todas as disciplinas oferecidas em seus cursos. No Júpiter Web, clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”. Você poderá pesquisar por “Cursos e habilitações oferecidos pela Unidade”; “Disciplinas em ordem alfabética” ou “Disciplinas por Departamento” – clicando na disciplina, você acessará a Grade Curricular.']";1.0;['c0a5f91c3f5b4b151056a3b4f0084020'];['c0a5f91c3f5b4b151056a3b4f0084020'];[{'start': 250, 'end': 331}];[{'start': 234, 'end': 331}];[{'start': 35, 'end': 116}];[{'start': 234, 'end': 331}];[0];[0.896551724137931];[1.0];[100.0];answer;Reader;integrated;0;"A Pró-Reitoria de Graduação (PRG) e a Pró-Reitoria de Pós-Graduação (PRPG) da Universidade de São Paulo disponibilizam através dos Sistemas JúpiterWeb e Janus, respectivamente, acesso a todas as disciplinas oferecidas em seus cursos. No Júpiter Web, clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”. Você poderá pesquisar por “Cursos e habilitações oferecidos pela Unidade”; “Disciplinas em ordem alfabética” ou “Disciplinas por Departamento” – clicando na disciplina, você acessará a Grade Curricular.";"A Pró-Reitoria de Graduação (PRG) e a Pró-Reitoria de Pós-Graduação (PRPG) da Universidade de São Paulo disponibilizam através dos Sistemas JúpiterWeb e Janus, respectivamente, acesso a todas as disciplinas oferecidas em seus cursos. No Júpiter Web, clicar em “Disciplina” – “Busca por Disciplinas” – clicar em “Unidades de Ensino”. Você poderá pesquisar por “Cursos e habilitações oferecidos pela Unidade”; “Disciplinas em ordem alfabética” ou “Disciplinas por Departamento” – clicando na disciplina, você acessará a Grade Curricular."
b51e989aa50c1a248e5fa6003cf91927;Qual o tempo estimado de resposta do questionário do Sistema Solus?;;['5 a 7 minutos'];5 a 7 minutos;va e das empresas. O tempo estimado de resposta do questionário é de 5 a 7 minutos. Para responder, acesse o link aqui. Até o fechamento desta matéria;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;['As informações concedidas serão de uso interno, à exceção das que já são de conhecimento público, e que podem ser eventualmente usadas para divulgação da iniciativa e das empresas. O tempo estimado de resposta do questionário é de 5 a 7 minutos. Para responder, acesse o link aqui. Até o fechamento desta matéria (9/4/19), estão cadastradas 60 empresas-filhas da Poli no Sistema Solus.'];1.0;['dda98348fa077e52ded22ebfa9587d57'];['dda98348fa077e52ded22ebfa9587d57'];[{'start': 231, 'end': 244}];[{'start': 231, 'end': 244}];[{'start': 69, 'end': 82}];[{'start': 231, 'end': 244}];[1];[1.0];[1.0];[100.0];answer;Reader;integrated;0;As informações concedidas serão de uso interno, à exceção das que já são de conhecimento público, e que podem ser eventualmente usadas para divulgação da iniciativa e das empresas. O tempo estimado de resposta do questionário é de 5 a 7 minutos. Para responder, acesse o link aqui. Até o fechamento desta matéria (9/4/19), estão cadastradas 60 empresas-filhas da Poli no Sistema Solus.;As informações concedidas serão de uso interno, à exceção das que já são de conhecimento público, e que podem ser eventualmente usadas para divulgação da iniciativa e das empresas. O tempo estimado de resposta do questionário é de 5 a 7 minutos. Para responder, acesse o link aqui. Até o fechamento desta matéria (9/4/19), estão cadastradas 60 empresas-filhas da Poli no Sistema Solus.
d80ef3307fad2f6117b440dfa873c094;Como vem sendo marcada, há 20 anos, a Feira USP e as Profissões?;;['por uma intensa participação de jovens em busca de seu futuro profissional'];uma intensa participação de jovens em busca de seu futuro profissional;sões vem sendo marcada, há 20 anos, por uma intensa participação de jovens em busca de seu futuro profissional. Em 2022 o evento recebeu 66.408 visita;0.0;0.9565217391304348;0.0;0.9565217391304348;0.0;0.9565217391304348;0.0;0.9565217391304348;['A escolha da profissão Um dos maiores e mais tradicionais eventos da USP na área de extensão e relacionamento com a sociedade, a Feira USP e as Profissões vem sendo marcada, há 20 anos, por uma intensa participação de jovens em busca de seu futuro profissional. Em 2022 o evento recebeu 66.408 visitantes, vindos de 27 Estados brasileiros e de outros 16 países. Deste público, 88,43% eram estudantes do ensino médio e 4,96% estudavam em cursinhos pré-vestibulares, sendo que 49% eram oriundos de escolas públicas e 51% de escolas particulares.'];1.0;['6d2cc2930cb4a07182f1ad695d1c74b0'];['6d2cc2930cb4a07182f1ad695d1c74b0'];[{'start': 190, 'end': 260}];[{'start': 186, 'end': 260}];[{'start': 40, 'end': 110}];[{'start': 186, 'end': 260}];[0];[0.9565217391304348];[1.0];[100.0];answer;Reader;integrated;0;A escolha da profissão Um dos maiores e mais tradicionais eventos da USP na área de extensão e relacionamento com a sociedade, a Feira USP e as Profissões vem sendo marcada, há 20 anos, por uma intensa participação de jovens em busca de seu futuro profissional. Em 2022 o evento recebeu 66.408 visitantes, vindos de 27 Estados brasileiros e de outros 16 países. Deste público, 88,43% eram estudantes do ensino médio e 4,96% estudavam em cursinhos pré-vestibulares, sendo que 49% eram oriundos de escolas públicas e 51% de escolas particulares.;A escolha da profissão Um dos maiores e mais tradicionais eventos da USP na área de extensão e relacionamento com a sociedade, a Feira USP e as Profissões vem sendo marcada, há 20 anos, por uma intensa participação de jovens em busca de seu futuro profissional. Em 2022 o evento recebeu 66.408 visitantes, vindos de 27 Estados brasileiros e de outros 16 países. Deste público, 88,43% eram estudantes do ensino médio e 4,96% estudavam em cursinhos pré-vestibulares, sendo que 49% eram oriundos de escolas públicas e 51% de escolas particulares.
34b4511bb2e1094847d04eececc9006c;O projeto Carbono 21 é fruto de qual parceria?;;['da parceria entre a Universidade da São Paulo e a Universidade Estadual de Santa Catarina'];Pró-Reitoria de Pesquisa; empresas criadas pela comunidade USP, entre outras informações estratégicas. produzido pela Pró-Reitoria de Pesquisa junto à Agência USP de Inovação.;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;['Carbono 21: parceria entre a USP e a UDESC, vence competição Selo de Inovação da Sociedade Brasileira de Computação Fruto da parceria entre a Universidade da São Paulo e a Universidade Estadual de Santa Catarina – Joinville (UDESC), o projeto Carbono 21 venceu recentemente a competição Selo de Inovação da Sociedade Brasileira de Computação, promovido no 43° Congresso da Sociedade Brasileira de Computação (CSBC), realizado de 6 a 11 de agosto.'];1.0;['99e0f9eab2ecb89c3e056ddc076bba98'];['8cb4d9e47b3ff9a0d211be75340c90c4'];[{'start': 256, 'end': 280}];[{'start': 122, 'end': 211}];[{'start': 93, 'end': 117}];[{'start': 122, 'end': 211}];[0];[0.125];[0.0];[46.308724832214764];answer;Reader;integrated;0;O Portal Solus é um diretório de organizações e programas atuantes no campo de inovação e empreendedorismo nos diversos campi USP, de transferência de tecnologia e empresas criadas pela comunidade USP, entre outras informações estratégicas. produzido pela Pró-Reitoria de Pesquisa junto à Agência USP de Inovação.;O Portal Solus é um diretório de organizações e programas atuantes no campo de inovação e empreendedorismo nos diversos campi USP, de transferência de tecnologia e empresas criadas pela comunidade USP, entre outras informações estratégicas. produzido pela Pró-Reitoria de Pesquisa junto à Agência USP de Inovação.
5a1510e573fff32a7fed628f85240caa;O Encarregado pelo Tratamento de Dados Pessoais no âmbito da Universidade de São Paulo foi indicado por qual meio?;;['por meio da Portaria GR nº 488 de 22 de setembro de 2021'];Portaria GR nº 488;regado pelo Tratamento de Dados Pessoais no âmbito da Universidade de São Paulo foi indicado por meio da Portaria GR nº 488 de 22 de setembro de 2021.;0.0;0.47058823529411764;0.0;0.47058823529411764;0.0;0.47058823529411764;0.0;0.47058823529411764;['Em consonância com o prescrito por este dispositivo legal, e nos termos do artigo 8º do Decreto Estadual nº 65.347, de 09 de dezembro de 2020, o Encarregado pelo Tratamento de Dados Pessoais no âmbito da Universidade de São Paulo foi indicado por meio da Portaria GR nº 488 de 22 de setembro de 2021.'];1.0;['f5b9514f752de7d5ae457c446bfb32fd'];['f5b9514f752de7d5ae457c446bfb32fd'];[{'start': 255, 'end': 273}];[{'start': 243, 'end': 299}];[{'start': 105, 'end': 123}];[{'start': 243, 'end': 299}];[0];[0.47058823529411764];[1.0];[100.0];answer;Reader;integrated;0;Em consonância com o prescrito por este dispositivo legal, e nos termos do artigo 8º do Decreto Estadual nº 65.347, de 09 de dezembro de 2020, o Encarregado pelo Tratamento de Dados Pessoais no âmbito da Universidade de São Paulo foi indicado por meio da Portaria GR nº 488 de 22 de setembro de 2021.;Em consonância com o prescrito por este dispositivo legal, e nos termos do artigo 8º do Decreto Estadual nº 65.347, de 09 de dezembro de 2020, o Encarregado pelo Tratamento de Dados Pessoais no âmbito da Universidade de São Paulo foi indicado por meio da Portaria GR nº 488 de 22 de setembro de 2021.
ae9efaa4902bc39d552af0e5676e2511;Como devem ser analisadas as questões cruciais de engenharia?;;['devem ser analisadas por diferentes prismas, trazendo a complexidade das diferenças para os times de projeto'];visão abrangente do processo produtivo e, por conseguinte, dos agentes ali inseridos;o o engenheiro necessita ter uma visão abrangente do processo produtivo e, por conseguinte, dos agentes ali inseridos. (NAKATA, Vera Lucia M., TORRE, ;0.0;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.0;['Afinal, o que sempre me motivou na engenharia é a capacidade de transformar conhecimento em soluções que contribuam para o desenvolvimento humano. Engenharia é conhecimento convertido em ação e solução de problemas. As questões cruciais de engenharia devem ser analisadas por diferentes prismas, trazendo a complexidade das diferenças para os times de projeto. Assim, o olhar da mulher é fundamental para compor o mosaico de soluções de engenharia. No nosso grupo de pesquisa em Inovação e Sustentabilidade, que está entre os de maior impacto, valorizamos a contribuição da mulher e a diversidade.'];1.0;['1087734625b5639fa94c99a738b09c17'];['973ab0d3274914fd4ec827eae37019c4'];[{'start': 199, 'end': 283}];[{'start': 251, 'end': 359}];[{'start': 33, 'end': 117}];[{'start': 251, 'end': 359}];[0];[0.07407407407407407];[0.0];[44.29530201342282];answer;Reader;integrated;0;A Engenharia de Produção, por sua vez, “lida com a gestão, (…) com a organização (…) que cria uma organização onde as pessoas se situam cada uma numa posição(…)”, logo o engenheiro necessita ter uma visão abrangente do processo produtivo e, por conseguinte, dos agentes ali inseridos. (NAKATA, Vera Lucia M., TORRE, Silvia Regina S. Dela e LIMA, Igor Renato M. de. Entrevista com o professor Francisco Romeu Landi, 2003).;A Engenharia de Produção, por sua vez, “lida com a gestão, (…) com a organização (…) que cria uma organização onde as pessoas se situam cada uma numa posição(…)”, logo o engenheiro necessita ter uma visão abrangente do processo produtivo e, por conseguinte, dos agentes ali inseridos. (NAKATA, Vera Lucia M., TORRE, Silvia Regina S. Dela e LIMA, Igor Renato M. de. Entrevista com o professor Francisco Romeu Landi, 2003).
94b2fd36ac64229f93fa5978fe40d664;Como a AUSPIN promove o empreendedorismo?;;['Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos'];Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos;a pelos pesquisadores da USP. Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos, promove o empreendedorismo, ;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;['Oferece apoio aos docentes, alunos e funcionários na elaboração de projetos em parceria para melhor gerenciar as relações com os setores empresariais, bem como, comunicar para a sociedade em geral o impacto e os benefícios das inovações guiadas pela ciência desenvolvida pelos pesquisadores da USP. Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos, promove o empreendedorismo, oferecendo suporte técnico, gerencial e formação complementar ao empreendedor. Trabalha também na transferência de tecnologias, preocupando-se em colocá-las à disposição da sociedade. A AUSPIN possui uma plataforma que reúne diversas informações sobre empreendedorismo e inovação na USP.'];1.0;['fcac4ad41917ba8d5e9a3581665e755'];['fcac4ad41917ba8d5e9a3581665e755'];[{'start': 299, 'end': 389}];[{'start': 299, 'end': 389}];[{'start': 30, 'end': 120}];[{'start': 299, 'end': 389}];[1];[1.0];[1.0];[100.0];answer;Reader;integrated;0;Oferece apoio aos docentes, alunos e funcionários na elaboração de projetos em parceria para melhor gerenciar as relações com os setores empresariais, bem como, comunicar para a sociedade em geral o impacto e os benefícios das inovações guiadas pela ciência desenvolvida pelos pesquisadores da USP. Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos, promove o empreendedorismo, oferecendo suporte técnico, gerencial e formação complementar ao empreendedor. Trabalha também na transferência de tecnologias, preocupando-se em colocá-las à disposição da sociedade. A AUSPIN possui uma plataforma que reúne diversas informações sobre empreendedorismo e inovação na USP.;Oferece apoio aos docentes, alunos e funcionários na elaboração de projetos em parceria para melhor gerenciar as relações com os setores empresariais, bem como, comunicar para a sociedade em geral o impacto e os benefícios das inovações guiadas pela ciência desenvolvida pelos pesquisadores da USP. Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos, promove o empreendedorismo, oferecendo suporte técnico, gerencial e formação complementar ao empreendedor. Trabalha também na transferência de tecnologias, preocupando-se em colocá-las à disposição da sociedade. A AUSPIN possui uma plataforma que reúne diversas informações sobre empreendedorismo e inovação na USP.
9a58c98714bfa636703a05a4065ad933;O que a AUSPIN oferece?;;['suporte técnico, gerencial e formação complementar ao empreendedor'];programas para auxiliar na permanência de estudantes em situação de vulnerabilidade social;stência Social (SAS), oferece programas para auxiliar na permanência de estudantes em situação de vulnerabilidade social. A SAS disponibiliza o Progra;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;['Oferece apoio aos docentes, alunos e funcionários na elaboração de projetos em parceria para melhor gerenciar as relações com os setores empresariais, bem como, comunicar para a sociedade em geral o impacto e os benefícios das inovações guiadas pela ciência desenvolvida pelos pesquisadores da USP. Por meio de incubadoras de empresas, de parques tecnológicos e de treinamentos específicos, promove o empreendedorismo, oferecendo suporte técnico, gerencial e formação complementar ao empreendedor. Trabalha também na transferência de tecnologias, preocupando-se em colocá-las à disposição da sociedade. A AUSPIN possui uma plataforma que reúne diversas informações sobre empreendedorismo e inovação na USP.'];1.0;['562e9e8ee0627d3e7743f1aad0748668'];['fcac4ad41917ba8d5e9a3581665e755'];[{'start': 286, 'end': 376}];[{'start': 430, 'end': 496}];[{'start': 30, 'end': 120}];[{'start': 430, 'end': 496}];[0];[0];[0.0];[47.333333333333336];answer;Reader;integrated;0;Além disso, os funcionários das bibliotecas da Poli também criaram o Guia do Calouro que está disponível nas bibliotecas e no site da Poli. Roda de Conversa “Esclarecimento de Dúvidas sobre Bolsas de Permanência” A USP, por meio da Superintendência de Assistência Social (SAS), oferece programas para auxiliar na permanência de estudantes em situação de vulnerabilidade social. A SAS disponibiliza o Programa de Apoio à Permanência e Formação Estudantil (PAPFE), o qual faz a seleção dos alunos que receberão os auxílios alimentação, livro, financeiro e moradia da USP.;Além disso, os funcionários das bibliotecas da Poli também criaram o Guia do Calouro que está disponível nas bibliotecas e no site da Poli. Roda de Conversa “Esclarecimento de Dúvidas sobre Bolsas de Permanência” A USP, por meio da Superintendência de Assistência Social (SAS), oferece programas para auxiliar na permanência de estudantes em situação de vulnerabilidade social. A SAS disponibiliza o Programa de Apoio à Permanência e Formação Estudantil (PAPFE), o qual faz a seleção dos alunos que receberão os auxílios alimentação, livro, financeiro e moradia da USP.
885a4a65ca1c60b8e0b261b6bc388e23;O que é o Instituto Pasteur-USP?;;['Centro de colaboração dedicado a pesquisas relacionadas à biodiversidade e à descoberta de novos patógenos, riscos potenciais à saúde pública brasileira e mundial'];uma universidade que investe e se preocupa com inovação;iativa é um grande passo para elevar a USP como uma universidade que investe e se preocupa com inovação. “Há anos a USP tem feito um esforço muito gra;0.0;0.06451612903225805;0.0;0.0;0.0;0.0;0.0;0.0;['Instituto Pasteur-USP Centro de colaboração dedicado a pesquisas relacionadas à biodiversidade e à descoberta de novos patógenos, riscos potenciais à saúde pública brasileira e mundial. O Inova USP está localizado na Cidade Universitária, em São Paulo. Tarde do segundo dia da Semana de Recepção contou com apresentações de disciplinas e rodas de conversas Na tarde de terça-feira, dia 15 de março de 2022, a Escola Politécnica (Poli) da USP deu continuidade às atividades do segundo dia da Semana de Recepção aos Ingressantes. A programação contou com apresentações de disciplinas, escolha dos Representantes de Classe e Rodas de Conversa.'];1.0;['5e85f6edf222773edb4b74c8b0c8f7c'];['66476d822caccc3c6af87a5872155526'];[{'start': 107, 'end': 162}];[{'start': 22, 'end': 184}];[{'start': 48, 'end': 103}];[{'start': 22, 'end': 184}];[0];[0.06451612903225805];[0.0];[43.99999999999999];answer;Reader;integrated;0;O reitor da USP Carlos Gilberto Carlotti destaca que a iniciativa é um grande passo para elevar a USP como uma universidade que investe e se preocupa com inovação. “Há anos a USP tem feito um esforço muito grande para que a inovação fizesse parte de sua agenda e estivesse presente em todos os seus ambientes.;O reitor da USP Carlos Gilberto Carlotti destaca que a iniciativa é um grande passo para elevar a USP como uma universidade que investe e se preocupa com inovação. “Há anos a USP tem feito um esforço muito grande para que a inovação fizesse parte de sua agenda e estivesse presente em todos os seus ambientes.
